"Redeem id","Creator id","Sender id","Diamonds earned from this gifter (so far)","Gifter spend coins on this creator (so far)","Gifter total purchased coins (so far)","Share","Flag","Suspicious diamonds","Sum of suspicious diamonds","Sum of diamonds earned from this gifter (so far)","Fraud ratio","Is fraudulent"
"5144436","2757929155","2916286811","5","8","100","0.08000000000000000000",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2865996709","488","698","21460","0.03252562907735321528",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2768467411","472","676","21620","0.03126734505087881591",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2705665642","138","198","2760","0.07173913043478260870",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2841081141","5","8","700","0.01142857142857142857",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2773383307","760","1090","1450","0.75172413793103448276",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2732787448","5","8","1800","0.00444444444444444444",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","147502691","380","551","545","1.0110091743119266",1,"380","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2785856857","124","178","1400","0.12714285714285714286",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2654173284","74","107","2050","0.05219512195121951220",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2525366954","1614","2328","5200","0.44769230769230769231",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2680971110","74","107","2700","0.03962962962962962963",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2118571074","349","499","1100","0.45363636363636363636",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2620864500","149","218","345","0.63188405797101449275",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2804511147","84","123","1625","0.07569230769230769231",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2832767731","69","99","200","0.49500000000000000000",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2687831842","69","99","600","0.16500000000000000000",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2899671681","5","8","8400","0.00095238095238095238",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2919230815","69","99","2100","0.04714285714285714286",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2858652945","69","99","9150","0.01081967213114754098",0,"0","10490","17159","0.61134098723701847427",False
"5144436","2757929155","2791152237","69","99","100","0.99000000000000000000",1,"69","10490","17159","0.61134098723701847427",False
"5140002","2681159574","2644592854","69","99","1150","0.08608695652173913043",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2573155598","69","99","480","0.20625000000000000000",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2544160528","459","657","2300","0.28565217391304347826",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2630417354","3567","5097","6500","0.78415384615384615385",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","214842986","1011","1446","550","2.6290909090909091",1,"1011","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2856885243","69","99","2900","0.03413793103448275862",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2743917519","69","99","1200","0.08250000000000000000",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2779024197","69","99","1920","0.05156250000000000000",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2220021996","69","99","1200","0.08250000000000000000",0,"0","1011","5729","0.17647058823529411765",False
"5140002","2681159574","2833147127","278","398","1440","0.27638888888888888889",0,"0","1011","5729","0.17647058823529411765",False
"5145932","2859444663","2575090932","5","8","720","0.01111111111111111111",0,"0","0","5","0.00000000000000000000",False
"5145154","2730290786","2657099892","382","565","20500","0.02756097560975609756",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2539615542","10","16","270","0.05925925925925925926",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2791883831","74","107","200","0.53500000000000000000",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2683369028","69","99","100","0.99000000000000000000",1,"69","138","1390","0.09928057553956834532",False
"5145154","2730290786","2768925245","69","99","700","0.14142857142857142857",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2918033667","10","16","4150","0.00385542168674698795",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2678710664","79","115","545","0.21100917431192660550",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2725286810","69","99","345","0.28695652173913043478",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2732921726","69","99","2890","0.03425605536332179931",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2827908995","69","99","1420","0.06971830985915492958",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2747857427","84","123","575","0.21391304347826086957",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2863213585","84","123","480","0.25625000000000000000",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2615174042","84","123","1750","0.07028571428571428571",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2691603978","10","16","575","0.02782608695652173913",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2836632871","74","107","1200","0.08916666666666666667",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2646141290","10","16","1200","0.01333333333333333333",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2793035845","69","99","120","0.82500000000000000000",1,"69","138","1390","0.09928057553956834532",False
"5145154","2730290786","2757343283","35","50","575","0.08695652173913043478",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2720389712","10","16","445","0.03595505617977528090",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2587784242","15","24","345","0.06956521739130434783",0,"0","138","1390","0.09928057553956834532",False
"5145154","2730290786","2892632061","15","24","1400","0.01714285714285714286",0,"0","138","1390","0.09928057553956834532",False
"5141458","2778760103","2752085615","3","5","1300","0.00384615384615384615",0,"0","0","24846","0.000000000000000000000000",False
"5141458","2778760103","2772036999","426","621","13125","0.04731428571428571429",0,"0","0","24846","0.000000000000000000000000",False
"5141458","2778760103","2757158483","139","199","13500","0.01474074074074074074",0,"0","0","24846","0.000000000000000000000000",False
"5141458","2778760103","144366289","3154","4507","15500","0.29077419354838709677",0,"0","0","24846","0.000000000000000000000000",False
"5141458","2778760103","2562598752","21000","30000","40000","0.75000000000000000000",0,"0","0","24846","0.000000000000000000000000",False
"5141458","2778760103","2603228882","124","178","13650","0.01304029304029304029",0,"0","0","24846","0.000000000000000000000000",False
"5146002","2895319809","2532888696","2244","3098","66250","0.04676226415094339623",0,"0","0","4674","0.00000000000000000000",False
"5146002","2895319809","2570625134","2120","3000","33000","0.09090909090909090909",0,"0","0","4674","0.00000000000000000000",False
"5146002","2895319809","2785180203","60","87","3545","0.02454160789844851904",0,"0","0","4674","0.00000000000000000000",False
"5146002","2895319809","2747199665","250","358","2000","0.17900000000000000000",0,"0","0","4674","0.00000000000000000000",False
"5140622","2913667489","2550362364","69","99","1470","0.06734693877551020408",0,"0","458","1770","0.25875706214689265537",False
"5140622","2913667489","2590174766","218","314","445","0.70561797752808988764",0,"0","458","1770","0.25875706214689265537",False
"5140622","2913667489","2540526912","458","662","675","0.98074074074074074074",1,"458","458","1770","0.25875706214689265537",False
"5140622","2913667489","2614541838","34","49","200","0.24500000000000000000",0,"0","458","1770","0.25875706214689265537",False
"5140622","2913667489","1295966226","716","1025","12500","0.08200000000000000000",0,"0","458","1770","0.25875706214689265537",False
"5140622","2913667489","2596109472","275","395","2900","0.13620689655172413793",0,"0","458","1770","0.25875706214689265537",False
"5139026","2627825112","2915591063","69","99","8400","0.01178571428571428571",0,"0","0","253","0.00000000000000000000",False
"5139026","2627825112","2541334796","41","59","3090","0.01909385113268608414",0,"0","0","253","0.00000000000000000000",False
"5139026","2627825112","2653241680","69","99","15945","0.00620884289746001881",0,"0","0","253","0.00000000000000000000",False
"5139026","2627825112","2647435120","69","99","600","0.16500000000000000000",0,"0","0","253","0.00000000000000000000",False
"5139026","2627825112","2915403113","5","8","400","0.02000000000000000000",0,"0","0","253","0.00000000000000000000",False
"5142524","2628878546","2707969000","16421","23477","23550","0.99690021231422505308",1,"16421","16421","16421","1.00000000000000000000",True
"5144322","2791880807","2751836649","349","499","4422","0.11284486657620985979",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2749951137","1050","1500","18000","0.08333333333333333333",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2896269749","278","398","41250","0.00964848484848484848",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2872070963","69","99","132750","0.00074576271186440678",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2573571122","699","999","10000","0.09990000000000000000",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2737333798","699","999","8000","0.12487500000000000000",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2760734059","69","99","13500","0.00733333333333333333",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2759032567","620","887","16100","0.05509316770186335404",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2890852327","699","999","29000","0.03444827586206896552",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2882163261","75","108","8145","0.01325966850828729282",0,"0","0","4751","0.00000000000000000000",False
"5144322","2791880807","2606587970","144","207","2400","0.08625000000000000000",0,"0","0","4751","0.00000000000000000000",False
"5138038","2870966845","2850269159","349","499","1040","0.47980769230769230769",0,"0","0","3069","0.00000000000000000000",False
"5138038","2870966845","2747798017","169","247","4350","0.05678160919540229885",0,"0","0","3069","0.00000000000000000000",False
"5138038","2870966845","949052786","2099","2999","5450","0.55027522935779816514",0,"0","0","3069","0.00000000000000000000",False
"5138038","2870966845","2596386414","452","647","1690","0.38284023668639053254",0,"0","0","3069","0.00000000000000000000",False
"5143020","2870987033","2748265489","100","145","3200","0.04531250000000000000",0,"0","69","923","0.07475622968580715060",False
"5143020","2870987033","2539080316","754","1078","3600","0.29944444444444444444",0,"0","69","923","0.07475622968580715060",False
"5143020","2870987033","2579615280","69","99","120","0.82500000000000000000",1,"69","69","923","0.07475622968580715060",False
"5141476","2918697651","2919425561","278","398","1490","0.26711409395973154362",0,"0","0","2103","0.00000000000000000000",False
"5141476","2918697651","2831175521","94","139","7522","0.01847912789151821324",0,"0","0","2103","0.00000000000000000000",False
"5141476","2918697651","2761213217","487","697","1620","0.43024691358024691358",0,"0","0","2103","0.00000000000000000000",False
"5141476","2918697651","2749840505","283","406","11820","0.03434856175972927242",0,"0","0","2103","0.00000000000000000000",False
"5141476","2918697651","2892660191","209","299","1550","0.19290322580645161290",0,"0","0","2103","0.00000000000000000000",False
"5141476","2918697651","331950266","354","507","4500","0.11266666666666666667",0,"0","0","2103","0.00000000000000000000",False
"5141476","2918697651","2844521347","398","572","1800","0.31777777777777777778",0,"0","0","2103","0.00000000000000000000",False
"5139122","2625464604","2780418833","79","115","1320","0.08712121212121212121",0,"0","2223","6464","0.34390470297029702970",False
"5139122","2625464604","2776776441","69","99","400","0.24750000000000000000",0,"0","2223","6464","0.34390470297029702970",False
"5139122","2625464604","2543590610","69","99","18000","0.00550000000000000000",0,"0","2223","6464","0.34390470297029702970",False
"5139122","2625464604","2632390396","1250","1793","18000","0.09961111111111111111",0,"0","2223","6464","0.34390470297029702970",False
"5139122","2625464604","2754395985","568","817","14525","0.05624784853700516351",0,"0","2223","6464","0.34390470297029702970",False
"5139122","2625464604","2754150257","648","927","17300","0.05358381502890173410",0,"0","2223","6464","0.34390470297029702970",False
"5139122","2625464604","2860854345","34","49","2850","0.01719298245614035088",0,"0","2223","6464","0.34390470297029702970",False
"5139122","2625464604","2578118618","69","99","720","0.13750000000000000000",0,"0","2223","6464","0.34390470297029702970",False
"5139122","2625464604","2919259781","347","497","18730","0.02653497063534436733",0,"0","2223","6464","0.34390470297029702970",False
"5139122","2625464604","2546789586","151","217","5000","0.04340000000000000000",0,"0","2223","6464","0.34390470297029702970",False
